,median_house_value
20046,58275.139291528845
3024,75302.45785289965
15663,378087.8533282375
20484,269771.5921963379
9814,280970.88957048336
13311,163717.95603180618
7113,232174.77944226746
7668,191926.77950273818
18246,256340.83451461192
5723,473275.2140536269
20069,106453.83501698144
6835,190680.99824132168
11351,179657.88365237947
20267,229953.09615086007
7097,242904.34117461406
6298,199146.20109164013
696,200042.08463339732
19607,163735.71292900748
14173,138524.18020588302
19638,96854.05734598762
18332,240567.35841251962
4691,313546.48631509906
2323,149762.37077086238
16880,457790.83204584086
14521,184435.71341693038
19833,64485.107401560505
8383,222884.0307811335
2647,105949.8706233649
1456,144677.0253798644
5678,396857.34403693286
341,99241.19608362796
4852,177473.41249036774
14386,228055.716466561
18261,407263.415302734
16105,275702.7076506482
9149,270628.78549044393
16879,349711.3668511153
6253,191394.3015711879
11741,129715.81400400714
7330,146691.88864683197
20460,343095.326922287
2412,98696.47328952672
19391,100481.39654314291
11441,191083.8753751059
13332,141821.46550970065
3721,251070.71257988404
14986,132363.12455587406
14152,175641.56132613905
5654,223140.6282000308
2578,107432.17665945167
19332,258186.27147574627
3376,163280.23696510005
15118,159121.3020615654
9620,79464.29941638118
7191,145217.28537354554
19932,143158.93178437382
13706,85684.78600089796
6220,246684.00331377104
14641,258102.46484215572
12101,198922.9409720074
11512,341237.2111042413
4743,232823.79839405476
19402,112182.22432038865
2608,110794.77451149467
11449,291161.4981605478
7654,207542.80117818635
19060,296564.39645164483
1350,153248.1039814243
4591,130741.18611983095
7168,147371.18325206306
3354,128214.30770919088
738,256967.30127786382
2351,96711.38884653605
15137,171208.625681545
8530,263152.41622341913
19150,193027.47864388206
17041,421610.33344721206
10495,209353.94265835098
7806,192609.03938404165
8915,277378.71259013336
19890,75311.29831209796
10216,178377.84083527364
4391,123396.98735906548
4600,122528.09491720499
5751,395474.64031709044
15479,217222.2735984478
3328,92332.04316422608
12809,83727.95005753891
20268,189671.94270011768
3958,211694.07934112544
18873,168610.33008642265
17928,241089.6551311001
14307,102591.36807562079
2028,56496.70597898068
13069,110062.42616332295
6052,127973.59602542555
15975,377257.83856318356
14331,160571.90930857768
1606,180360.6916320395
10915,192436.10603717866
13336,122270.95918117701
10389,410123.54536172724
14462,314500.3062955341
14930,281459.85410726577
6962,192182.0780133368
10236,180895.9635790429
4279,182443.8155852399
4738,319712.88178183784
17973,241089.6551311001
19559,95942.85664593833
538,160075.06675389668
4186,220518.33973643745
2826,382961.1686331404
17840,412532.7441071205
12570,121732.80766608726
4767,263695.43076210754
7763,198203.9239787248
4043,294849.0473611121
11311,214514.37756693413
6068,267273.31672706787
19252,180566.51560631406
8337,218098.57302063334
16025,372908.8060052268
4309,179307.57232409384
15060,153535.35672050127
2420,74463.58015935846
13656,84119.313651571
5665,221403.7971494461
3778,267661.4941018974
2301,97858.72698417278
5990,237444.3154072607
6590,498988.1944239244
16104,285841.4105914282
9622,93344.99493929923
19122,200862.1255495024
13932,118731.90666215876
290,233623.00579597207
17202,242589.5217911371
9970,182911.1073763118
20372,268876.6173390438
18346,181089.7820593594
14970,149467.91901495223
4447,146523.26624683442
4744,228492.94785488152
3529,435897.14996404713
7316,142250.54575679998
16885,463448.28288026317
15890,215873.49680201616
10033,94885.75083026249
13597,96660.97603090807
4667,142204.68318818707
16330,122424.12740155768
6541,194956.99466513577
7228,157388.04082062838
9845,278336.6617537679
10385,283935.78722187405
10885,199437.35469739474
11096,267905.8957194837
9571,84827.17411249316
5222,116033.58903089951
15607,276728.6725826067
6814,188518.23850010426
3485,428129.8194720466
9877,166213.32664843914
18786,81738.39156381325
17198,309505.46148044866
20125,204057.80183855008
19818,86376.22129224094
3912,249532.77801865136
17825,272045.98904904997
17639,280431.89206884376
14015,220652.10746066924
15397,278343.8255532125
10428,325459.68671132164
19766,66735.85955515206
13925,68668.47351467515
9942,133484.79252430526
13933,103203.98401642597
1097,182415.2992321821
2115,71030.81177200197
1493,339374.3166658623
18466,367093.9313451424
15030,164129.93248553667
17923,254929.88128863927
2334,59543.29998518792
5216,125561.25994192602
6241,186599.86027065144
4629,191325.7324991013
18177,461586.6588409169
5059,285702.5352105709
7547,160024.3667608704
563,268244.9568616918
6421,149256.74322418115
4496,164604.71087198227
13015,151539.1560552968
19959,84359.80850017803
3921,237930.80417833506
12414,105295.88776188369
4046,499983.1505556654
5236,138848.5277882069
16757,267014.2426662945
10761,463134.6759481524
19071,338024.94761320594
18914,282297.2645011337
3482,297698.97491004586
16038,249863.50710932005
19485,101682.28666969495
9658,88954.05576747943
7107,213086.19995920555
18656,240490.73598277156
7278,138408.65125099962
17798,425808.54929678905
8538,307212.35185095144
