Date.Day,Date.Full,Date.Month,Date.Year,Show.Name,Show.Theatre,Show.Type,Statistics.Attendance,Statistics.Capacity,Statistics.Gross,Statistics.GrossPotential,Statistics.Performances
15,12/15/2013,12,2013,First Date,Longacre,Musical,5241,61,355595,,8
15,12/15/2013,12,3122,Jersey Boys,August Wilson,Musical,8423,86,953819,,8
15,12/15/2013,12,2013,Kinky Boots,Al Hirschfeld,Musical,11464,101,1768672,,8
15,12/15/2013,12,2013,Macbeth '13 (Lct),Vivian Beaumont,Play,5566,66,363665,,8
15,12/15/2013,12,2013,Mamma Mia!,Broadhurst,Musical,6243,67,541254,,8
15,12/15/2013,12,2013,Matilda,Shubert,Musical,11178,98,1157142,,8
15,12/15/2013,12,2013,Motown The Musical,Lunt-Fontanne,Musical,11527,96,1538154,,8
15,12/15/2013,12,2013,Newsies,Nederlander,Musical,9192,97,789589,,8
15,12/15/2013,12,2013,No Man'S Land/Waiting For Godot,Cort,Play,7489,87,694111,,8
15,12/15/2013,12,2013,Once,Jacobs,Musical,6818,80,737982,,8
15,12/15/2013,12,2013,Pippin,Music Box,Musical,7179,91,844011,,8
15,12/15/2013,12,2013,Rock Of Ages,Helen Hayes,Musical,4312,92,408587,,8
15,12/15/2013,12,2013,Spider-Man Turn Off The Dark,Foxwoods,Musical,13405,106,1054823,,8
15,12/15/2013,12,2013,The Book Of Mormon,Eugene O'Neill,Musical,8752,103,1865333,,8
15,12/15/2013,12,2013,The Glass Menagerie '13,Booth,Play,4460,72,504266,,8
15,12/15/2013,12,2013,The Lion King,Minskoff,Musical,12809,94,1818825,,8
15,12/15/2013,12,2013,The Phantom Of The Opera,Majestic,Musical,9414,73,809501,,8
15,12/15/2013,12,2013,The Snow Geese,Friedman,Play,3430,75,130484,,7
15,12/15/2013,12,2013,Twelfth Night/Richard Iii,Belasco,Play,8368,100,805442,,8
15,12/15/2013,12,2013,Wicked,Gershwin,Musical,15008,99,1971945,,8
22,12/22/2013,12,2013,700 Sundays '13,Imperial,Play,7549,86,1064456,,6
22,12/22/2013,12,2013,A Gentleman'S Guide To Love And Murder,Walter Kerr,Musical,5666,78,539230,,8
22,12/22/2013,12,2013,A Night With Janis Joplin,Lyceum,Musical,3518,58,291763,,8
22,12/22/2013,12,2013,After Midnight,Brooks Atkinson,Musical,6180,75,612939,,8
22,12/22/2013,12,2013,Annie '12,Palace,Musical,11830,104,1037800,,8
22,12/22/2013,12,2013,Beautiful,Stephen Sondheim,Musical,7056,86,711141,,0
22,12/22/2013,12,2013,Betrayal '13,Ethel Barrymore,Play,8424,100,1276143,,8
22,12/22/2013,12,2013,Big Fish,Neil Simon,Musical,7925,70,538081,,8
22,12/22/2013,12,2013,Chicago,Ambassador,Musical,7026,81,594505,,8
22,12/22/2013,12,2013,Cinderella,Broadway,Musical,9795,70,881703,,8
22,12/22/2013,12,2013,First Date,Longacre,Musical,5599,65,361670,,8
22,12/22/2013,12,2013,Jersey Boys,August Wilson,Musical,8130,83,871578,,8
22,12/22/2013,12,2013,Kinky Boots,Al Hirschfeld,Musical,11080,97,1719272,,8
22,12/22/2013,12,2013,Macbeth '13 (Lct),Vivian Beaumont,Play,5769,69,334034,,8
22,12/22/2013,12,2013,Machinal,American Airlines,Play,2012,69,70446,,0
22,12/22/2013,12,2013,Mamma Mia!,Broadhurst,Musical,7200,77,627873,,8
22,12/22/2013,12,2013,Matilda,Shubert,Musical,11265,98,1286509,,8
22,12/22/2013,12,2013,Motown The Musical,Lunt-Fontanne,Musical,10970,91,1407739,,8
22,12/22/2013,12,2013,Newsies,Nederlander,Musical,8767,92,805718,,8
22,12/22/2013,12,2013,No Man'S Land/Waiting For Godot,Cort,Play,7767,90,720707,,8
22,12/22/2013,12,2013,Once,Jacobs,Musical,6666,79,722299,,8
22,12/22/2013,12,2013,Pippin,Music Box,Musical,7150,90,831288,,8
22,12/22/2013,12,2013,Rock Of Ages,Helen Hayes,Musical,3576,88,351984,,7
22,12/22/2013,12,2013,Spider-Man Turn Off The Dark,Foxwoods,Musical,12755,101,1203125,,8
22,12/22/2013,12,2013,The Book Of Mormon,Eugene O'Neill,Musical,8752,103,1962932,,8
22,12/22/2013,12,2013,The Glass Menagerie '13,Booth,Play,4379,70,504049,,8
22,12/22/2013,12,2013,The Lion King,Minskoff,Musical,13399,99,2206379,,8
22,12/22/2013,12,2013,The Phantom Of The Opera,Majestic,Musical,10896,85,1005309,,8
22,12/22/2013,12,3222,Twelfth Night/Richard Iii,Belasco,Play,8524,101,845435,,8
22,12/22/2013,12,2013,Wicked,Gershwin,Musical,14486,97,2153098,,8
29,12/29/2013,12,2013,700 Sundays '13,Imperial,Play,8770,100,1403415,,6
29,12/29/2013,12,2013,A Gentleman'S Guide To Love And Murder,Walter Kerr,Musical,7602,93,816932,,9
29,12/29/2013,12,2013,A Night With Janis Joplin,Lyceum,Musical,4943,74,444357,,8
29,12/29/2013,12,2013,After Midnight,Brooks Atkinson,Musical,7529,91,891410,,8
29,12/29/2013,12,2013,Annie '12,Palace,Musical,13226,97,1566847,,8
